party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
-8,3,-0.19047619047619047,0.6,1.0,0.2,0,133.0,0,2,0.0,1/2_3,1200.0,2,13
-1,3,-0.023809523809523808,0.6,1.0,0.2,0,90.0,0,2,0.0,1/2_2,825.0,2,13
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,248.0,0,4,0.0,1/8_1_1_1,1250.0,2,8
-2,3,-0.047619047619047616,0.6,2.0,0.4,0,177.5,0,5,0.0,1/4_0_1_1/4_1/2,820.0,2,18
-4,0,-0.09523809523809523,0.0,1.0,0.2,0,50.5,1,3,0.3333333333333333,1/2_1_0,620.0,4,25
-3,0,-0.07142857142857142,0.0,1.0,0.2,0,65.0,0,2,0.0,1/8_2,712.5,3,14
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,151.0,0,2,0.0,2_2,1350.0,2,10
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,196.0,0,4,0.0,1_2_1/4_0,1420.0,2,10
1,0,0.023809523809523808,0.0,3.0,0.6,1,-6.5,8,8,1.0,0_0_0_1/8_0_1/2_0_1/8,500.0,6,56
-3,0,-0.07142857142857142,0.0,2.0,0.4,0,202.0,0,7,0.0,1_1/8_0_0_1/4_1_0,1262.5,2,20
16,3,0.38095238095238093,0.6,0.0,0.0,1,-2.0,3,3,1.0,0_1/4_1,520.0,4,25
-1,0,-0.023809523809523808,0.0,1.0,0.2,0,210.0,0,5,0.0,0_1/4_1_2_1/8,1470.0,2,17
-3,2,-0.07142857142857142,0.4,3.0,0.6,0,138.0,0,6,0.0,0_1_0_1/2_1/8_1/8,740.0,3,26
-1,4,-0.023809523809523808,0.8,2.0,0.4,0,76.0,0,3,0.0,2_0_1/4,1020.0,2,16
9,0,0.21428571428571427,0.0,0.0,0.0,1,-7.5,2,2,1.0,0_3,1065.0,4,25
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,137.0,0,2,0.0,2_2,1350.0,2,11
-2,3,-0.047619047619047616,0.6,3.0,0.6,0,128.0,0,4,0.0,0_1_0_1,840.0,2,16
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,158.0,0,2,0.0,2_2,1350.0,2,9
-15,0,-0.35714285714285715,0.0,1.0,0.2,0,72.5,0,2,0.0,2_1/4,750.0,3,18
0,3,0.0,0.6,3.0,0.6,0,191.5,0,7,0.0,0_0_1/4_1/4_1/8_1/4_1,987.5,2,21
-3,2,-0.07142857142857142,0.4,1.0,0.2,0,72.5,0,2,0.0,2_1/4,750.0,2,13
0,2,0.0,0.4,2.0,0.4,0,162.5,0,8,0.0,1/8_0_1/8_1/4_0_1/4_1/2_0,700.0,3,25
-7,4,-0.16666666666666666,0.8,3.0,0.6,0,104.5,0,3,0.0,3_0_1/8,1470.0,2,13
-4,3,-0.09523809523809523,0.6,1.0,0.2,0,122.5,0,2,0.0,1/4_3,1125.0,2,10
-1,4,-0.023809523809523808,0.8,1.0,0.2,0,38.0,0,1,0.0,3,700.0,2,12
16,1,0.38095238095238093,0.2,0.0,0.0,1,-12.0,3,3,1.0,0_2_0,940.0,4,23
-1,4,-0.023809523809523808,0.8,4.0,0.8,0,321.5,0,10,0.0,0_1/2_1_1/8_0_1/8_1/4_1/4_1/4_1/8,1362.5,2,14
-2,4,-0.047619047619047616,0.8,3.0,0.6,0,210.0,0,5,0.0,0_2_1_1/4_1/8,1470.0,2,12
-7,0,-0.16666666666666666,0.0,1.0,0.2,0,121.0,0,3,0.0,1/2_1/2_1,800.0,3,19
-8,2,-0.19047619047619047,0.4,1.0,0.2,0,112.0,0,2,0.0,3_1/2,1200.0,2,14
-1,0,-0.023809523809523808,0.0,1.0,0.2,0,19.5,1,2,0.5,2_0,690.0,4,23
0,5,0.0,1.0,2.0,0.4,0,129.5,0,2,0.0,1/4_3,1125.0,1,5
-1,3,-0.023809523809523808,0.6,1.0,0.2,0,171.0,0,4,0.0,2_1_1/8_1/8,1400.0,2,13
-1,1,-0.023809523809523808,0.2,1.0,0.2,0,132.0,0,3,0.0,2_1/2_1/8,1150.0,3,19
-4,0,-0.09523809523809523,0.0,2.0,0.4,0,145.5,0,4,0.0,1/2_1/2_1/2_1/4,700.0,3,25
-2,1,-0.047619047619047616,0.2,2.0,0.4,0,87.0,0,4,0.0,3_0_1/8_0,1490.0,2,10
-1,4,-0.023809523809523808,0.8,1.0,0.2,0,45.0,0,1,0.0,3,700.0,2,12
-1,3,-0.023809523809523808,0.6,1.0,0.2,0,66.0,0,1,0.0,3,700.0,2,9
-7,4,-0.16666666666666666,0.8,1.0,0.2,0,137.0,0,2,0.0,2_2,1350.0,2,10
-3,0,-0.07142857142857142,0.0,1.0,0.2,0,171.0,0,3,0.0,1/2_1/2_2,1300.0,3,18
-4,0,-0.09523809523809523,0.0,2.0,0.4,0,57.5,1,3,0.3333333333333333,1/8_1/4_1,550.0,4,26
-8,1,-0.19047619047619047,0.2,1.0,0.2,0,126.0,0,2,0.0,1/2_3,1200.0,2,10
-3,0,-0.07142857142857142,0.0,1.0,0.2,0,80.0,0,2,0.0,1/8_3,1087.5,3,14
-8,0,-0.19047619047619047,0.0,2.0,0.4,0,55.0,1,2,0.5,1/2_2,825.0,3,18
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,198.0,0,6,0.0,1/8_1/4_1/2_1/4_1/8_1/2,700.0,3,29
-2,4,-0.047619047619047616,0.8,2.0,0.4,0,132.5,0,4,0.0,1/4_0_1/4_2,1120.0,2,14
9,1,0.21428571428571427,0.2,0.0,0.0,1,-12.0,3,3,1.0,0_0_2,940.0,4,24
-11,0,-0.2619047619047619,0.0,2.0,0.4,0,26.0,2,3,0.6666666666666666,0_1/4_1,520.0,5,31
-6,1,-0.14285714285714285,0.2,1.0,0.2,0,339.5,0,6,0.0,1/2_1_1/2_1/2_1/4_1/2,1300.0,2,13
