party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
9,0,0.21428571428571427,0.0,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,4,18
42,5,1.0,1.0,0.0,0.0,1,-3.5,1,1,1.0,0,10.0,1,1
34,5,0.8095238095238095,1.0,0.0,0.0,1,-6.5,1,1,1.0,1/4,50.0,2,9
42,5,1.0,1.0,0.0,0.0,1,0.0,1,1,1.0,1/8,25.0,1,2
30,5,0.7142857142857143,1.0,0.0,0.0,1,-6.5,2,2,1.0,0_1/2,165.0,2,13
30,5,0.7142857142857143,1.0,0.0,0.0,1,-3.0,3,3,1.0,0_1/2_0,240.0,2,15
23,1,0.5476190476190477,0.2,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,2,11
23,3,0.5476190476190477,0.6,0.0,0.0,1,-2.5,2,2,1.0,1/2_1/4,225.0,3,17
38,4,0.9047619047619048,0.8,0.0,0.0,1,-6.5,1,1,1.0,1/4,50.0,2,8
38,5,0.9047619047619048,1.0,0.0,0.0,1,-6.5,1,1,1.0,1/4,50.0,2,7
16,3,0.38095238095238093,0.6,0.0,0.0,1,-2.5,2,2,1.0,1/2_1/4,225.0,4,23
42,4,1.0,0.8,0.0,0.0,1,-10.5,1,1,1.0,0,10.0,1,1
16,1,0.38095238095238093,0.2,0.0,0.0,1,-13.0,1,1,1.0,1,200.0,3,17
30,5,0.7142857142857143,1.0,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,2,11
23,2,0.5476190476190477,0.4,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,3,15
41,4,0.9761904761904762,0.8,0.0,0.0,1,-7.0,1,2,0.5,0_0,30.0,1,2
16,3,0.38095238095238093,0.6,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,3,16
42,5,1.0,1.0,0.0,0.0,1,0.0,1,1,1.0,1/8,25.0,1,4
28,2,0.6666666666666666,0.4,0.0,0.0,1,-10.0,1,1,1.0,1/2,100.0,2,10
16,1,0.38095238095238093,0.2,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,3,15
42,4,1.0,0.8,0.0,0.0,1,-6.5,1,1,1.0,1/4,50.0,2,7
28,3,0.6666666666666666,0.6,0.0,0.0,1,-10.0,1,1,1.0,1/2,100.0,2,11
16,2,0.38095238095238093,0.4,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,3,16
34,4,0.8095238095238095,0.8,0.0,0.0,1,-13.5,1,1,1.0,1/4,50.0,2,8
30,5,0.7142857142857143,1.0,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,3,13
26,5,0.6190476190476191,1.0,0.0,0.0,1,-3.0,2,2,1.0,1/2_1/8,187.5,3,16
42,4,1.0,0.8,0.0,0.0,1,0.0,2,3,0.6666666666666666,0_1/8_0,90.0,1,4
35,5,0.8333333333333334,1.0,0.0,0.0,1,-3.0,1,1,1.0,1/2,100.0,2,9
42,5,1.0,1.0,0.0,0.0,1,-3.5,1,1,1.0,0,10.0,1,1
42,5,1.0,1.0,0.0,0.0,1,-3.5,1,1,1.0,0,10.0,1,1
28,5,0.6666666666666666,1.0,0.0,0.0,1,-3.0,1,1,1.0,1/2,100.0,2,10
30,3,0.7142857142857143,0.6,0.0,0.0,1,-6.0,1,1,1.0,1,200.0,2,10
29,3,0.6904761904761905,0.6,0.0,0.0,1,-2.5,2,2,1.0,1/4_1/2,225.0,3,18
