party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
6,0,0.14285714285714285,0.0,1.0,0.2,1,-5.5,4,4,1.0,1/4_1/2_1/4_0,420.0,5,36
-1,1,-0.023809523809523808,0.2,1.0,0.2,0,54.0,1,2,0.5,1_1/2,450.0,4,23
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,71.0,0,6,0.0,1/2_0_1/2_0_0_0,480.0,4,38
0,3,0.0,0.6,4.0,0.8,0,85.0,0,5,0.0,1/2_1/2_0_0_1/8,490.0,3,24
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,50.0,2,6,0.3333333333333333,1/8_1/2_1/4_0_1/8_1/8,470.0,4,41
24,1,0.5714285714285714,0.2,0.0,0.0,1,-6.0,3,3,1.0,0_1_0,440.0,3,21
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,96.0,0,6,0.0,1/4_1/8_1/4_1/8_0_1/4,420.0,4,40
-1,0,-0.023809523809523808,0.0,1.0,0.2,0,43.0,1,4,0.25,1/8_1_0_0,490.0,4,31
0,0,0.0,0.0,4.0,0.8,0,11.5,4,5,0.8,1/4_1/2_1/8_1/8_1/8,450.0,6,43
16,1,0.38095238095238093,0.2,0.0,0.0,1,-12.0,1,1,1.0,2,450.0,3,17
6,1,0.14285714285714285,0.2,0.0,0.0,1,-12.5,2,2,1.0,1/4_1,375.0,5,31
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,15.0,3,4,0.75,1_1/8_0_0,490.0,5,34
23,3,0.5476190476190477,0.6,0.0,0.0,1,-6.0,3,3,1.0,0_0_1,440.0,3,20
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,23.0,0,1,0.0,2,450.0,3,17
26,2,0.6190476190476191,0.4,0.0,0.0,1,-10.0,6,6,1.0,1/2_0_1/8_0_1/8_1/8,390.0,4,35
-5,2,-0.11904761904761904,0.4,5.0,1.0,0,78.5,0,6,0.0,1/4_0_1/4_1/8_1/4_0,390.0,3,31
9,2,0.21428571428571427,0.4,0.0,0.0,1,-6.0,4,4,1.0,1_1/8_0_0,490.0,4,31
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,71.0,1,5,0.2,1/8_1/2_0_1/2_0,490.0,4,30
12,2,0.2857142857142857,0.4,0.0,0.0,1,-9.5,3,3,1.0,0_1/8_1,470.0,4,27
2,0,0.047619047619047616,0.0,1.0,0.2,1,-2.0,3,3,1.0,1/4_1/2_1/4,400.0,6,37
-2,3,-0.047619047619047616,0.6,1.0,0.2,0,30.0,0,1,0.0,2,450.0,3,14
12,0,0.2857142857142857,0.0,0.0,0.0,1,-2.5,3,3,1.0,1_1/8_0,470.0,4,27
11,0,0.2619047619047619,0.0,0.0,0.0,1,-6.5,6,6,1.0,1/8_0_1/8_1/8_1/2_1/8,420.0,5,47
12,0,0.2857142857142857,0.0,0.0,0.0,1,-9.5,3,3,1.0,1_0_1/8,470.0,4,29
22,3,0.5238095238095238,0.6,0.0,0.0,1,-2.5,3,3,1.0,0_1_1/8,470.0,4,23
0,0,0.0,0.0,3.0,0.6,0,43.0,2,5,0.4,1/8_1/4_1/2_0_1/8,420.0,4,33
-3,0,-0.07142857142857142,0.0,3.0,0.6,0,5.0,2,3,0.6666666666666666,1/4_1/2_1/4,400.0,6,35
12,2,0.2857142857142857,0.4,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,4,23
0,1,0.0,0.2,4.0,0.8,0,124.0,0,6,0.0,1/4_0_1/4_1/8_1/4_1/8,420.0,4,29
-2,0,-0.047619047619047616,0.0,2.0,0.4,0,43.0,1,4,0.25,1_1/8_0_0,490.0,4,29
9,1,0.21428571428571427,0.2,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,4,25
-4,0,-0.09523809523809523,0.0,2.0,0.4,0,60.5,1,6,0.16666666666666666,0_1/8_1/8_1/4_1/2_0,440.0,4,36
12,2,0.2857142857142857,0.4,0.0,0.0,1,-5.5,2,2,1.0,1_1/4,375.0,5,27
0,0,0.0,0.0,3.0,0.6,0,39.5,3,6,0.5,0_1/2_0_1/8_1/8_1/4,440.0,4,31
15,1,0.35714285714285715,0.2,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,4,20
12,0,0.2857142857142857,0.0,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,4,23
-1,0,-0.023809523809523808,0.0,1.0,0.2,0,11.5,3,4,0.75,1/4_1/2_1/8_1/8,400.0,5,41
2,0,0.047619047619047616,0.0,1.0,0.2,1,-2.0,3,3,1.0,1/4_1/2_1/4,400.0,5,35
12,1,0.2857142857142857,0.2,0.0,0.0,1,-5.5,2,2,1.0,1/4_1,375.0,4,24
-3,0,-0.07142857142857142,0.0,4.0,0.8,0,61.0,1,4,0.25,1/4_1/8_1/2_1/4,450.0,4,31
-3,2,-0.07142857142857142,0.4,2.0,0.4,0,46.5,1,3,0.3333333333333333,1/2_0_1/2,420.0,3,21
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,124.0,0,6,0.0,1/4_1/8_0_1/4_1/8_1/4,420.0,4,32
16,2,0.38095238095238093,0.4,0.0,0.0,1,-27.0,4,4,1.0,0_1_1/8_0,490.0,4,32
-1,1,-0.023809523809523808,0.2,1.0,0.2,0,12.0,1,2,0.5,1/2_1,450.0,5,29
-2,1,-0.047619047619047616,0.2,1.0,0.2,0,16.0,0,1,0.0,2,450.0,3,14
-1,0,-0.023809523809523808,0.0,4.0,0.8,0,54.0,2,4,0.5,1/4_1/8_1/2_1/4,450.0,4,31
-2,2,-0.047619047619047616,0.4,1.0,0.2,0,2.0,0,1,0.0,2,450.0,3,17
22,0,0.5238095238095238,0.0,0.0,0.0,1,-2.5,3,3,1.0,0_1/2_1/2,420.0,4,22
16,2,0.38095238095238093,0.4,0.0,0.0,1,-5.0,1,1,1.0,2,450.0,3,14
-3,2,-0.07142857142857142,0.4,3.0,0.6,0,99.0,0,5,0.0,0_1/8_0_1/2_1/2,490.0,3,24
0,1,0.0,0.2,4.0,0.8,0,92.5,0,5,0.0,1/8_1/4_0_1/2_1/4,470.0,3,24
24,0,0.5714285714285714,0.0,0.0,0.0,1,-6.0,4,4,1.0,1_0_1/8_0,490.0,3,21
-2,0,-0.047619047619047616,0.0,1.0,0.2,0,9.0,0,1,0.0,2,450.0,3,14
