party_hp,party_extras,frac_party_hp,frac_party_extras,num_party_down,frac_party_down,success,enemies_hp,num_enemies_down,num_enemies,frac_enemies_down,CRs,totalXP,num_rounds,num_turns
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,4,20
20,2,0.47619047619047616,0.4,0.0,0.0,1,-6.0,3,3,1.0,1/2_1/4_0,320.0,4,29
10,0,0.23809523809523808,0.0,0.0,0.0,1,-6.0,4,4,1.0,1/8_1/4_1/2_0,370.0,4,32
29,2,0.6904761904761905,0.4,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,19
18,1,0.42857142857142855,0.2,0.0,0.0,1,0.0,6,6,1.0,1/8_1/8_1/8_1/8_1/8_1/8,300.0,4,35
20,3,0.47619047619047616,0.6,0.0,0.0,1,-2.5,4,4,1.0,0_1/2_1/4_0,340.0,3,22
23,3,0.5476190476190477,0.6,0.0,0.0,1,-6.5,3,3,1.0,1/2_0_1/8,270.0,3,21
23,2,0.5476190476190477,0.4,0.0,0.0,1,-13.0,2,2,1.0,1_1/8,337.5,4,20
8,0,0.19047619047619047,0.0,0.0,0.0,1,-5.5,5,5,1.0,1/4_0_1/4_0_1/4,340.0,5,40
29,2,0.6904761904761905,0.4,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,14
-1,0,-0.023809523809523808,0.0,2.0,0.4,0,68.0,1,6,0.16666666666666666,1/4_0_0_0_1/4_1/4,360.0,4,34
23,4,0.5476190476190477,0.8,0.0,0.0,1,-6.0,3,3,1.0,1/4_1/2_0,320.0,4,22
21,0,0.5,0.0,1.0,0.2,1,-6.5,7,7,1.0,0_1/8_1/4_1/8_0_0_0,350.0,3,25
16,0,0.38095238095238093,0.0,0.0,0.0,1,-5.5,3,3,1.0,1/4_1/4_1/4,300.0,5,30
1,0,0.023809523809523808,0.0,3.0,0.6,1,-6.0,4,4,1.0,1/2_1/8_1/4_0,370.0,5,33
27,3,0.6428571428571429,0.6,0.0,0.0,1,-3.0,3,3,1.0,1/8_1/2_1/8,300.0,3,18
23,3,0.5476190476190477,0.6,0.0,0.0,1,-6.0,2,2,1.0,1/8_1,337.5,3,19
24,2,0.5714285714285714,0.4,0.0,0.0,1,-6.0,6,6,1.0,1/8_0_1/4_1/4_1/8_0,340.0,4,33
26,2,0.6190476190476191,0.4,0.0,0.0,1,-3.0,3,3,1.0,1/2_1/8_1/8,300.0,4,23
5,0,0.11904761904761904,0.0,2.0,0.4,1,-6.0,4,4,1.0,1/8_1/2_1/4_0,370.0,5,34
16,2,0.38095238095238093,0.4,0.0,0.0,1,-9.5,3,3,1.0,1/2_1/8_1/4,350.0,4,30
27,3,0.6428571428571429,0.6,0.0,0.0,1,-6.0,3,3,1.0,0_1/2_1/4,320.0,3,18
27,4,0.6428571428571429,0.8,0.0,0.0,1,-3.0,5,5,1.0,1/8_0_0_1/8_1/2,340.0,4,30
26,4,0.6190476190476191,0.8,0.0,0.0,1,-3.0,3,3,1.0,1/8_1/8_1/2,300.0,4,23
17,4,0.40476190476190477,0.8,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,19
29,3,0.6904761904761905,0.6,0.0,0.0,1,-2.5,2,2,1.0,0_1,315.0,3,15
17,2,0.40476190476190477,0.4,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,5,26
23,4,0.5476190476190477,0.8,0.0,0.0,1,-2.5,2,2,1.0,0_1,315.0,3,18
23,3,0.5476190476190477,0.6,0.0,0.0,1,-3.0,3,3,1.0,1/8_1/2_1/8,300.0,3,23
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,36.5,2,4,0.5,1/4_1/8_1/4_1/4,350.0,5,35
27,3,0.6428571428571429,0.6,0.0,0.0,1,-6.0,3,3,1.0,1/2_1/4_0,320.0,4,22
23,2,0.5476190476190477,0.4,0.0,0.0,1,-3.0,4,4,1.0,0_0_1/2_1/8,290.0,3,21
16,1,0.38095238095238093,0.2,0.0,0.0,1,-5.5,3,3,1.0,1/4_1/4_1/4,300.0,4,29
23,3,0.5476190476190477,0.6,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,3,18
16,2,0.38095238095238093,0.4,0.0,0.0,1,-6.0,2,2,1.0,1/8_1,337.5,4,23
-2,0,-0.047619047619047616,0.0,3.0,0.6,0,15.0,3,4,0.75,1/4_1/2_1/8_0,370.0,5,32
12,0,0.2857142857142857,0.0,0.0,0.0,1,-5.5,5,5,1.0,1/4_1/4_0_0_1/4,340.0,5,35
8,0,0.19047619047619047,0.0,0.0,0.0,1,-6.0,6,6,1.0,1/4_1/8_0_1/8_1/4_0,340.0,6,55
29,3,0.6904761904761905,0.6,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,15
23,1,0.5476190476190477,0.2,0.0,0.0,1,-13.5,4,4,1.0,1/2_1/8_1/8_0,320.0,3,20
29,3,0.6904761904761905,0.6,0.0,0.0,1,-6.0,2,2,1.0,1_1/8,337.5,4,21
15,2,0.35714285714285715,0.4,0.0,0.0,1,-5.5,3,3,1.0,1/4_1/4_1/4,300.0,4,26
17,1,0.40476190476190477,0.2,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,4,23
28,5,0.6666666666666666,1.0,0.0,0.0,1,-6.5,4,4,1.0,0_1/2_0_0,260.0,3,17
17,0,0.40476190476190477,0.0,0.0,0.0,1,-6.0,2,2,1.0,1/2_1/2,300.0,4,22
26,3,0.6190476190476191,0.6,0.0,0.0,1,-3.0,4,4,1.0,0_1/2_1/8_0,290.0,3,20
-1,0,-0.023809523809523808,0.0,3.0,0.6,0,47.0,2,6,0.3333333333333333,1/4_1/4_0_0_1/4_0,360.0,4,37
27,5,0.6428571428571429,1.0,0.0,0.0,1,-6.5,3,3,1.0,0_1/8_1/2,270.0,3,17
5,0,0.11904761904761904,0.0,1.0,0.2,1,-6.0,4,4,1.0,0_1/4_1/2_1/8,370.0,5,39
30,4,0.7142857142857143,0.8,0.0,0.0,1,-3.0,3,3,1.0,1/2_1/8_1/8,300.0,3,18
15,0,0.35714285714285715,0.0,0.0,0.0,1,-6.5,4,4,1.0,1/8_1/8_1/2_0,320.0,4,29
23,1,0.5476190476190477,0.2,0.0,0.0,1,-5.5,3,3,1.0,1/4_1/4_1/4,300.0,4,23
23,3,0.5476190476190477,0.6,0.0,0.0,1,-2.5,2,2,1.0,1_0,315.0,3,14
